id_clase,titulo,descripcion,imagen
1,yoga,Yoga para principiantes, imagen1.jpg
2,pilates,Pilates para fortalecimiento, imagen2.jpg
3,spinning,Spinning para quemar calorias, imagen3.jpg
4,zumba,Zumba para bailar y divertirse, imagen4.jpg
5,funcional,Entrenamiento funcional para todo el cuerpo, imagen5.jpg
6,boxeo,Boxeo para defensa personal, imagen6.jpg
7,crossfit,Crossfit para mejorar la resistencia, imagen7.jpg
8,baile,Baile para aprender ritmos latinos, imagen8.jpg
9,natacion,Natación para mejorar la técnica, imagen9.jpg
10,escalada,Escalada en roca para principiantes, imagen10.jpg
11,tenis,Tenis para mejorar el saque, imagen11.jpg
12,padel,Pádel para jugar partidos, imagen12.jpg
13,atletismo,Atletismo para correr, imagen13.jpg
14,remo,Remo para remar en equipo, imagen14.jpg
15,halterofilia,Halterofilia para levantar pesas, imagen15.jpg
16,calistenia,Calistenia para ejercicios con peso corporal, imagen16.jpg
17,artes marciales,Artes marciales para defensa personal, imagen17.jpg
18,patinaje,Patinaje artístico para aprender trucos, imagen18.jpg
19,skateboarding,Skateboarding para patinar en rampa, imagen19.jpg
20,surf,Surf para surfear olas grandes, imagen20.jpg
